"front","back"
"Ưu điểm của mã hóa công khai so với đối xứng là gì?","Giải quyết tốt hơn bài toán phân phối khóa"
"Nhược điểm của mã hóa công khai là gì?","Chậm và tốn tài nguyên hơn mã hóa đối xứng"
"Thuật toán nào sau đây thuộc nhóm mã hóa công khai?","RSA"
"Mã hóa lai thường kết hợp như thế nào?","Dùng mã hóa đối xứng để mã hóa dữ liệu, dùng mã hóa công khai để mã hóa/trao đổi khóa"
"Trong hệ thống mã hóa đối xứng quy mô lớn, cơ chế phân phối khóa có thể dùng gì?","KDC"
"Trong mã hóa công khai, cơ chế xác thực khóa công khai thường dựa vào gì?","CA"
"Hàm băm có đặc điểm chính nào?","Là hàm một chiều"
"Hàm băm thường dùng để đảm bảo tính chất nào?","Tính toàn vẹn"
"Thuật toán nào sau đây là hàm băm?","SHA-256"
"MD5 hiện nay không nên dùng cho bảo mật mạnh vì lý do nào?","Đã yếu, có nguy cơ va chạm"
"Chữ ký số thường cung cấp tính chất nào?","Xác thực, toàn vẹn, không chối bỏ"
"Khi tạo chữ ký số, người gửi thường dùng gì để ký?","Private key của người gửi"
"Khi xác minh chữ ký số, người nhận thường dùng gì?","Public key của người gửi"
"DES là loại thuật toán nào?","Mã hóa khối đối xứng"
"DES xử lý dữ liệu theo khối có kích thước bao nhiêu?","64 bit"
"Độ dài khóa hiệu dụng của DES là bao nhiêu?","56 bit"
"DES sử dụng cấu trúc nào?","Cấu trúc Feistel"
"DES có bao nhiêu vòng Feistel?","16 vòng"
"Trong mỗi vòng DES, hàm F thường được áp dụng lên phần nào?","Nửa phải R cùng khóa phụ"
"Khóa phụ trong mỗi vòng DES có kích thước bao nhiêu?","48 bit"
"Trong hàm F của DES, bước Expansion E làm gì?","Mở rộng nửa phải từ 32 bit lên 48 bit"
"S-box trong DES có vai trò gì?","Chuyển 6 bit thành 4 bit và tạo thành phần phi tuyến"
"P-box trong DES chủ yếu dùng để làm gì?","Hoán vị bit nhằm khuếch tán dữ liệu"
"Khi giải mã DES, quy trình khác mã hóa chủ yếu ở điểm nào?","Dùng khóa phụ theo thứ tự ngược lại"
"DES hiện nay được xem là không an toàn chủ yếu vì lý do nào?","Khóa 56 bit quá ngắn, dễ bị brute force với năng lực tính toán hiện đại"
"RSA thuộc nhóm thuật toán nào?","Mã hóa công khai"
"Trong RSA, n được tính như thế nào?","n = p × q"
"Với RSA, nếu p và q là hai số nguyên tố, φ(n) được tính như thế nào?","φ(n) = (p - 1)(q - 1)"
"Trong RSA, e phải thỏa điều kiện nào?","1 < e < φ(n) và gcd(e, φ(n)) = 1"
"Trong RSA, d là gì?","Nghịch đảo modular của e theo modulo φ(n)"
"Công thức mã hóa RSA cơ bản là gì?","C = M^e mod n"
"Công thức giải mã RSA cơ bản là gì?","M = C^d mod n"
"Trong RSA, public key thường gồm gì?","(e, n)"
"Trong RSA, private key thường gồm gì?","(d, n)"
"Độ an toàn của RSA dựa nhiều vào bài toán nào?","Phân tích n thành p và q khi n rất lớn"
"Firewall là gì?","Hệ thống/phần mềm/phần cứng giám sát, phân tích, điều khiển lưu lượng mạng theo luật bảo mật"
"Chức năng cơ bản của firewall là gì?","Allow/Deny lưu lượng dựa trên tập luật"
"Packet Filtering Firewall thường lọc dựa trên thông tin nào?","IP nguồn/đích, port, giao thức"
"Hạn chế của packet filtering firewall là gì?","Không hiểu rõ ngữ cảnh kết nối"
"Stateful Inspection Firewall cải tiến ở điểm nào?","Theo dõi trạng thái kết nối"
"NGFW thường có thêm chức năng nào?","Application awareness, IDS/IPS, deep packet inspection"
"Firewall có thể hoạt động ở những tầng nào theo đề cương?","Từ layer 2 đến layer 7"
"Hardware firewall là gì?","Thiết bị vật lý chuyên dụng làm firewall"
"Software firewall là gì?","Phần mềm cài trên máy tính hoặc máy chủ để lọc lưu lượng"
"IDS là gì?","Intrusion Detection System"
"Chức năng chính của IDS là gì?","Phát hiện dấu hiệu tấn công/xâm nhập"
"Khác biệt lớn nhất giữa IDS và firewall theo đề cương là gì?","IDS chỉ phát hiện, không chặn gói tin như firewall"
"IPS là gì?","Intrusion Prevention System"
"IPS khác IDS ở điểm nào?","IPS có khả năng ngăn chặn/phòng chống khi phát hiện tấn công"
"Công cụ IDS phổ biến nào sau đây được nêu trong đề cương?","Snort"
"Công cụ nào sau đây cũng là IDS phổ biến?","Suricata"
"DoS là gì?","Tấn công làm gián đoạn hoặc từ chối dịch vụ"
"DDoS khác DoS ở điểm nào?","DDoS dùng nhiều nguồn tấn công phân tán"
"Mục tiêu chính của DoS/DDoS là gì?","Làm gián đoạn dịch vụ, không nhắm chính vào dữ liệu"
"SYN flood lợi dụng điểm nào của TCP?","Cơ chế three-way handshake và trạng thái half-open connection"
"Smurf attack thường lợi dụng yếu tố nào?","ICMP và địa chỉ broadcast"
"Ping of Death là dạng tấn công liên quan đến gì?","Gói ping/ICMP bất thường quá kích thước hoặc bị xử lý lỗi"
"Teardrop attack liên quan đến vấn đề nào?","Phân mảnh gói tin IP bất thường"
"LAND attack có đặc điểm nào?","Gói tin có địa chỉ nguồn và đích giống nhau"
"Biện pháp nào có thể hỗ trợ giảm thiểu DoS/DDoS?","Dùng CDN, giới hạn thời gian/kết nối, block port khi cần"
"Chuẩn bảo mật Wi-Fi nào cũ và không nên sử dụng?","WEP"
"WPA3 so với WEP có đặc điểm nào?","An toàn hơn nhiều"
"Vì sao không nên bật WPS nếu không cần thiết?","Có thể tạo thêm rủi ro bị dò PIN/tấn công truy cập Wi-Fi"
"Evil Twin là kiểu tấn công nào?","Fake Access Point giả mạo điểm truy cập hợp pháp"
"Deauthentication attack trong Wi-Fi nhằm mục tiêu gì?","Ngắt kết nối client khỏi access point"
"Biện pháp nào giúp bảo vệ Wi-Fi tốt hơn?","Dùng WPA2/WPA3, mật khẩu mạnh, tắt WPS nếu không cần"
"Đối với người dùng khi dùng mạng công cộng, giải pháp nào được đề cương nhấn mạnh là tốt?","Dùng VPN đáng tin cậy"
"SQL Injection là gì?","Chèn mã SQL độc hại vào đầu vào để thao túng truy vấn cơ sở dữ liệu"
"Biện pháp phòng chống SQL Injection hiệu quả là gì?","Dùng prepared statement/parameterized query"
"XSS là gì?","Chèn script độc hại vào trang web để chạy trên trình duyệt người dùng"
"Biện pháp phòng chống XSS là gì?","Encode/escape output, validate input, dùng Content Security Policy khi phù hợp"
"CSRF là gì?","Ép người dùng đã đăng nhập thực hiện hành động không mong muốn"
"Biện pháp phòng chống CSRF phổ biến là gì?","CSRF token, SameSite cookie, kiểm tra Origin/Referer"
"File Inclusion là gì?","Lợi dụng chức năng include file để đọc/chạy file không mong muốn"
"Biện pháp phòng chống File Inclusion là gì?","Kiểm soát đường dẫn, whitelist file hợp lệ, không cho include tùy ý từ input"
"MITM là gì?","Kẻ tấn công chen giữa hai bên giao tiếp để nghe lén/sửa đổi dữ liệu"
"Dạng tấn công nào sau đây có thể thuộc MITM?","ARP spoofing"
"Biện pháp nào giúp người dùng giảm nguy cơ MITM?","Dùng HTTPS, kiểm tra chứng chỉ, dùng VPN đáng tin cậy trên mạng không tin cậy"
"Trong mã hóa công khai, MITM có thể xảy ra nếu vấn đề nào không được giải quyết?","Không xác thực đúng public key của bên giao tiếp"
"Brute force attack là gì?","Thử tất cả hoặc rất nhiều khả năng mật khẩu/khóa"
"Dictionary attack là gì?","Thử mật khẩu dựa trên danh sách từ/mật khẩu phổ biến"
"So với brute force, dictionary attack thường có đặc điểm nào?","Nhanh hơn nếu người dùng đặt mật khẩu phổ biến"
"Biện pháp chống brute force/dictionary attack là gì?","CAPTCHA, giới hạn số lần thử, khóa tài khoản tạm thời, mật khẩu mạnh, MFA"
"Công cụ nào được đề cương nêu làm ví dụ cho tấn công mật khẩu?","THC Hydra"
